user_ID,recommended_service_ID,conversion
9,s8,yes
4,s6,no
8,s6,no
7,s5,no
8,s8,no
8,s6,no
9,s4,no
10,s4,no
9,s2,yes
8,s8,no
8,s1,yes
9,s7,no
7,s3,no
1,s5,no
9,s7,no
4,s3,no
4,s7,no
8,s5,yes
10,s6,no
10,s7,no
2,s8,yes
7,s6,no
7,s5,yes
4,s8,yes
6,s8,yes
5,s7,no
1,s10,no
3,s1,no
4,s2,no
9,s2,yes
8,s6,yes
3,s5,no
9,s9,no
4,s3,yes
7,s4,yes
8,s3,yes
9,s2,no
5,s6,yes
7,s1,yes
4,s10,yes
3,s4,no
4,s1,no
6,s9,no
9,s6,yes
5,s9,no
1,s7,no
6,s4,yes
6,s9,no
3,s8,yes
4,s2,yes
7,s7,yes
2,s7,no
4,s4,no
7,s8,yes
6,s10,no
4,s10,yes
8,s10,no
9,s2,no
9,s4,yes
8,s8,yes
8,s7,no
6,s2,yes
1,s4,no
8,s10,no
7,s4,yes
7,s9,yes
4,s2,no
6,s4,yes
5,s2,no
10,s5,yes
3,s2,yes
5,s5,yes
3,s10,yes
5,s4,no
3,s8,no
7,s1,yes
10,s4,yes
5,s6,no
9,s1,no
6,s6,no
1,s9,no
10,s7,yes
1,s2,no
2,s5,no
2,s10,yes
5,s7,yes
6,s9,yes
1,s10,yes
3,s10,yes
7,s8,yes
4,s6,yes
5,s9,yes
9,s5,yes
10,s6,yes
3,s7,yes
10,s5,no
2,s1,yes
8,s10,yes
2,s5,no
5,s5,yes
8,s10,yes
